
--- LOGS FROM data/logs.db ---
Table 'logs' not found.

--- LOGS FROM logs/logs.db ---
[2026-02-24T10:14:31.813438] INFO    | werkzeug             | 2026-02-24 10:14:31 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:31] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:14:28.825171] INFO    | werkzeug             | 2026-02-24 10:14:28 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:28] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:14:25.813183] INFO    | werkzeug             | 2026-02-24 10:14:25 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:25] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:14:22.814424] INFO    | werkzeug             | 2026-02-24 10:14:22 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:22] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:14:19.817951] INFO    | werkzeug             | 2026-02-24 10:14:19 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:19] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:14:16.809042] INFO    | werkzeug             | 2026-02-24 10:14:16 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:16] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:14:13.841080] INFO    | werkzeug             | 2026-02-24 10:14:13 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:13] "GET /api/session/info HTTP/1.1" 200 -
[2026-02-24T10:14:13.812464] INFO    | werkzeug             | 2026-02-24 10:14:13 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:13] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:14:10.823309] INFO    | werkzeug             | 2026-02-24 10:14:10 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:10] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:14:09.840038] INFO    | werkzeug             | 2026-02-24 10:14:09 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:09] "GET /api/analytics/trade-distribution?from_date=2026-02-17&to_date=2026-02-24 HTTP/1.1" 200 -
[2026-02-24T10:14:09.823600] INFO    | werkzeug             | 2026-02-24 10:14:09 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:09] "GET /api/analytics/hourly-performance?from_date=2026-02-17&to_date=2026-02-24 HTTP/1.1" 200 -
[2026-02-24T10:14:09.804803] INFO    | werkzeug             | 2026-02-24 10:14:09 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:09] "GET /api/analytics/daily-profit?from_date=2026-02-17&to_date=2026-02-24 HTTP/1.1" 200 -
[2026-02-24T10:14:09.788724] INFO    | werkzeug             | 2026-02-24 10:14:09 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:09] "GET /api/analytics/win-loss-by-symbol?from_date=2026-02-17&to_date=2026-02-24 HTTP/1.1" 200 -
[2026-02-24T10:14:09.765123] INFO    | werkzeug             | 2026-02-24 10:14:09 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:09] "GET /api/analytics/profit-by-symbol?from_date=2026-02-17&to_date=2026-02-24 HTTP/1.1" 200 -
[2026-02-24T10:14:09.727806] INFO    | werkzeug             | 2026-02-24 10:14:09 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:09] "GET /api/analytics/performance?from_date=2026-02-17&to_date=2026-02-24 HTTP/1.1" 200 -
[2026-02-24T10:14:07.817657] INFO    | werkzeug             | 2026-02-24 10:14:07 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:07] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:14:04.821512] INFO    | werkzeug             | 2026-02-24 10:14:04 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:04] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:14:01.822047] INFO    | werkzeug             | 2026-02-24 10:14:01 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:14:01] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:13:58.842465] INFO    | werkzeug             | 2026-02-24 10:13:58 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:58] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:13:55.813711] INFO    | werkzeug             | 2026-02-24 10:13:55 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:55] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:13:52.817691] INFO    | werkzeug             | 2026-02-24 10:13:52 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:52] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:13:49.819348] INFO    | werkzeug             | 2026-02-24 10:13:49 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:49] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:13:46.816602] INFO    | werkzeug             | 2026-02-24 10:13:46 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:46] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:13:44.132224] INFO    | werkzeug             | 2026-02-24 10:13:43 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:43] "GET /api/session/info HTTP/1.1" 200 -
[2026-02-24T10:13:44.113006] INFO    | werkzeug             | 2026-02-24 10:13:43 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:43] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:13:44.099598] INFO    | werkzeug             | 2026-02-24 10:13:40 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:40] "GET /api/bot/activities?limit=100 HTTP/1.1" 200 -
[2026-02-24T10:13:44.087428] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | SIGNAL | INFY | NO_SIGNAL | SIGNAL_REJECTED | Price: 1504.45 | Reasoning: {"filter": "RSI", "reason": "RSI 26.16 is too oversold (<30)", "signal": "Bearish ROC Momentum"} | Indicators: {"rsi": 26.15932130275361, "fast_ma": 1528.5295564539333, "slow_ma": 1532.036416198951}
[2026-02-24T10:13:44.074389] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | ================================================================================
[2026-02-24T10:13:44.058958] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |      Market may be overextended - skipping trade
[2026-02-24T10:13:44.043984] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |      RSI 26.16 is too oversold (<30)
[2026-02-24T10:13:44.028627] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |   ❌ RSI FILTER REJECTED!
[2026-02-24T10:13:44.014703] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |   Checking SELL: RSI range 30-50
[2026-02-24T10:13:43.998348] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |   RSI Oversold threshold: 30
[2026-02-24T10:13:43.983743] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |   RSI Overbought threshold: 70
[2026-02-24T10:13:43.969196] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |   Current RSI: 26.16
[2026-02-24T10:13:43.955190] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | 🔍 RSI FILTER CHECK:
[2026-02-24T10:13:43.939797] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | --------------------------------------------------------------------------------
[2026-02-24T10:13:43.922856] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | 🎯 SELL SIGNAL DETECTED - Now checking filters...
[2026-02-24T10:13:43.867434] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | --------------------------------------------------------------------------------
[2026-02-24T10:13:43.852400] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | ================================================================================
[2026-02-24T10:13:43.834951] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | ✅ SIGNAL GENERATED: Bearish ROC Momentum
[2026-02-24T10:13:43.817874] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | --------------------------------------------------------------------------------
[2026-02-24T10:13:43.801986] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |      MA Cross value: 0
[2026-02-24T10:13:43.780008] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |   ❌ No crossover detected
[2026-02-24T10:13:43.764990] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |   Current:  Fast MA=1528.52956, Slow MA=1532.03642
[2026-02-24T10:13:43.748134] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |   Previous: Fast MA=1533.88057, Slow MA=1534.79506
[2026-02-24T10:13:43.731609] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | 🔍 METHOD 1: CHECKING MA CROSSOVER:
[2026-02-24T10:13:43.714471] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |      ROC threshold: -0.15%, EMA6 < EMA12
[2026-02-24T10:13:43.697693] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |   ✅ Bearish ROC surge (-0.533%) with EMA alignment
[2026-02-24T10:13:43.681878] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | 🔍 METHOD 0B: MOMENTUM ROC PRE-SIGNAL:
[2026-02-24T10:13:43.667391] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | --------------------------------------------------------------------------------
[2026-02-24T10:13:43.653942] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | --------------------------------------------------------------------------------
[2026-02-24T10:13:43.635996] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |   ❌ No micro-crossover (EMA6=1522.00800, EMA12=1530.81331)
[2026-02-24T10:13:43.617937] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | 🔍 METHOD 0A: EMA6/12 MICRO-CROSSOVER (fastest signal):
[2026-02-24T10:13:43.600759] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | --------------------------------------------------------------------------------
[2026-02-24T10:13:43.585763] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | Price vs Slow MA:  -27.58642 (below)
[2026-02-24T10:13:43.569352] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | Price vs Fast MA:  -24.07956 (below)
[2026-02-24T10:13:43.552047] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | MA Position:       Fast BELOW Slow
[2026-02-24T10:13:43.537213] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | MA Distance:       3.50686 points
[2026-02-24T10:13:43.520247] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | Slow MA (21):      1532.03642
[2026-02-24T10:13:43.504567] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | Fast MA (10):      1528.52956
[2026-02-24T10:13:43.490146] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | Current Price:     1504.45000
[2026-02-24T10:13:43.473493] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | ================================================================================
[2026-02-24T10:13:43.460084] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | 📊 SIGNAL ANALYSIS - DETAILED CALCULATIONS
[2026-02-24T10:13:43.443037] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | ================================================================================
[2026-02-24T10:13:43.426239] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | 
[2026-02-24T10:13:43.410113] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | ✅ Indicators calculated successfully
[2026-02-24T10:13:43.394326] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | 📊 Calculating technical indicators...
[2026-02-24T10:13:43.378202] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | ✅ Retrieved 200 bars of data (requested: 200)
[2026-02-24T10:13:43.363410] INFO    | paper_trading_adapter | 2026-02-24 10:13:39 | paper_trading_adapter | INFO | Generated 200 bars of simulated data for INFY
[2026-02-24T10:13:43.345966] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |     Requesting 200 bars for analysis
[2026-02-24T10:13:43.326914] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | 📈 Fetching historical data for INFY (Timeframe: 15)...
[2026-02-24T10:13:43.307331] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | 📊 Position Check: 0/5 positions for INFY
[2026-02-24T10:13:43.289209] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | ╚==============================================================================╝
[2026-02-24T10:13:43.271281] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | ║ ANALYZING                                 INFY                                   ║
[2026-02-24T10:13:43.252935] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | ╔==============================================================================╗
[2026-02-24T10:13:43.237158] INFO    | werkzeug             | 2026-02-24 10:13:39 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:39] "GET /api/analytics/trade-distribution?from_date=2026-02-17&to_date=2026-02-24 HTTP/1.1" 200 -
[2026-02-24T10:13:43.221412] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | ================================================================================
[2026-02-24T10:13:43.206225] INFO    | werkzeug             | 2026-02-24 10:13:39 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:39] "GET /api/analytics/hourly-performance?from_date=2026-02-17&to_date=2026-02-24 HTTP/1.1" 200 -
[2026-02-24T10:13:43.190457] INFO    | werkzeug             | 2026-02-24 10:13:39 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:39] "GET /api/analytics/daily-profit?from_date=2026-02-17&to_date=2026-02-24 HTTP/1.1" 200 -
[2026-02-24T10:13:43.174385] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | SIGNAL | TCS | NO_SIGNAL | SIGNAL_REJECTED | Price: 4366.22 | Reasoning: {"filter": "Trend Detection", "reason": "Trend confidence 0.000 < 0.600", "signal": "Bullish ROC Momentum", "conflicts": []} | Indicators: {"trend_confidence": 0.0, "analysis_confidence": 0.0}
[2026-02-24T10:13:43.157909] INFO    | werkzeug             | 2026-02-24 10:13:39 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:39] "GET /api/analytics/win-loss-by-symbol?from_date=2026-02-17&to_date=2026-02-24 HTTP/1.1" 200 -
[2026-02-24T10:13:43.143243] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |      Trend confidence: 0.000 (min required: 0.600)
[2026-02-24T10:13:43.127045] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |      Trend analysis does not support BUY signal
[2026-02-24T10:13:43.109016] INFO    | werkzeug             | 2026-02-24 10:13:39 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:39] "GET /api/analytics/profit-by-symbol?from_date=2026-02-17&to_date=2026-02-24 HTTP/1.1" 200 -
[2026-02-24T10:13:43.096904] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO |   ❌ TREND DETECTION REJECTED!
[2026-02-24T10:13:43.080682] INFO    | werkzeug             | 2026-02-24 10:13:39 | werkzeug | INFO | 127.0.0.1 - - [24/Feb/2026 10:13:39] "GET /api/analytics/performance?from_date=2026-02-17&to_date=2026-02-24 HTTP/1.1" 200 -
[2026-02-24T10:13:43.064155] INFO    | src.trend_detection_engine | 2026-02-24 10:13:39 | src.trend_detection_engine | INFO | ✅ Trend analysis complete for TCS: 0 signals, confidence=0.00, time=5.2ms
[2026-02-24T10:13:43.048512] INFO    | src.trend_detection_engine | 2026-02-24 10:13:39 | src.trend_detection_engine | INFO | ✅ Trend analysis complete for TCS: 0 signals, confidence=0.00, time=3.6ms
[2026-02-24T10:13:43.032290] WARNING | src.trend_detection_engine | 2026-02-24 10:13:39 | src.trend_detection_engine | WARNING | ⚠️ Performance: Trend Analysis - TCS took 170.9ms (>100ms threshold)
[2026-02-24T10:13:43.017964] WARNING | src.trend_detection_engine | 2026-02-24 10:13:39 | src.trend_detection_engine | WARNING | ⚠️ PERFORMANCE: trend_analysis_TCS took 168.7ms (threshold: 100.0ms)
[2026-02-24T10:13:43.003326] INFO    | src.trend_detection_engine | 2026-02-24 10:13:39 | src.trend_detection_engine | INFO | ✅ Trend analysis complete for TCS: 0 signals, confidence=0.00, time=168.7ms
[2026-02-24T10:13:42.988755] WARNING | src.trend_detection_engine | 2026-02-24 10:13:39 | src.trend_detection_engine | WARNING | ⚠️ Analysis exceeded target time: 168.7ms > 100ms
[2026-02-24T10:13:42.973284] WARNING | src.trend_detection_engine | 2026-02-24 10:13:39 | src.trend_detection_engine | WARNING | ⚠️ Analysis timeout approaching for TCS, skipping divergence
[2026-02-24T10:13:42.960699] INFO    | root                 | 2026-02-24 10:13:39 | root | INFO | 🔍 ADVANCED TREND DETECTION FILTER:
